titre,url,organisation,date
Élections législatives des 30 juin et 7 juillet 2024 - Résultats définitifs du 1er tour,https://www.data.gouv.fr/datasets/elections-legislatives-des-30-juin-et-7-juillet-2024-resultats-definitifs-du-1er-tour,Ministère de l'intérieur,Mis à jour le 15 juil. 2024
"""Carte des loyers"" - Indicateurs de loyers d'annonce par commune en 2018",https://www.data.gouv.fr/datasets/carte-des-loyers-indicateurs-de-loyers-dannonce-par-commune-en-2018,Ministère de la Transition écologique,Mis à jour le 3 déc. 2020
Ma connexion internet,https://www.data.gouv.fr/datasets/ma-connexion-internet,"Autorité de régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP)",Mis à jour le 11 juin 2026
"Feuilles de route ministérielles sur la politique de la donnée, des algorithmes et des codes sources",https://www.data.gouv.fr/datasets/feuilles-de-route-ministerielles-sur-la-politique-de-la-donnee-des-algorithmes-et-des-codes-sources,Etalab,Mis à jour le 11 avr. 2022
"Pathologies : effectif de patients par pathologie, sexe, classe d'âge et territoire (département, région)",https://www.data.gouv.fr/datasets/pathologies-effectif-de-patients-par-pathologie-sexe-classe-dage-et-territoire-departement-region,Caisse nationale de l'Assurance Maladie,Mis à jour il y a 25 jours
Communes et inventaire SRU,https://www.data.gouv.fr/datasets/communes-et-inventaire-sru,Ministère de la Transition écologique,Mis à jour le 22 janv. 2026
Liste des radars fixes en France,https://www.data.gouv.fr/datasets/liste-des-radars-fixes-en-france,Ministère de l'intérieur,Mis à jour le 30 déc. 2025
Immeubles protégés au titre des Monuments Historiques,https://www.data.gouv.fr/datasets/immeubles-proteges-au-titre-des-monuments-historiques-2,Ministère de la Culture,Mis à jour hier
"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",https://www.data.gouv.fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,Institut national de la statistique et des études économiques (Insee),Mis à jour il y a 29 jours
Demandes de valeurs foncières géolocalisées,https://www.data.gouv.fr/datasets/demandes-de-valeurs-foncieres-geolocalisees,data.gouv.fr,Mis à jour aujourd’hui
Registre National des Cantines,https://www.data.gouv.fr/datasets/registre-national-des-cantines,"Ministère de l'Agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",Mis à jour aujourd’hui
Baromètre du Numérique,https://www.data.gouv.fr/datasets/barometre-du-numerique,"Autorité de régulation des communications électroniques, des postes et de la distribution de la presse (ARCEP)",Mis à jour le 9 févr. 2026
Parcelles en Agriculture Biologique (AB) déclarées à la PAC,https://www.data.gouv.fr/datasets/parcelles-en-agriculture-biologique-ab-declarees-a-la-pac,Agence Bio,Mis à jour aujourd’hui
DPE Logements (avant juillet 2021),https://www.data.gouv.fr/datasets/dpe-logements-avant-juillet-2021,ADEME,Mis à jour il y a 3 jours
Marché du travail,https://www.data.gouv.fr/datasets/marche-du-travail,Institut national de la statistique et des études économiques (Insee),Mis à jour hier
Elections municipales 2020 - Liste des candidats élus au T1 et liste des communes entièrement pourvues,https://www.data.gouv.fr/datasets/elections-municipales-2020-liste-des-candidats-elus-au-t1-et-liste-des-communes-entierement-pourvues,Ministère de l'intérieur,Mis à jour le 17 juin 2020
Liste des communes selon le zonage ABC,https://www.data.gouv.fr/datasets/liste-des-communes-selon-le-zonage-abc,Ministère de la Transition écologique,Mis à jour il y a 28 jours
Journées européennes du patrimoine,https://www.data.gouv.fr/datasets/journees-europeennes-du-patrimoine,Ministère de la Culture,Mis à jour le 24 sept. 2025
OLD Données relatives aux résultats des tests virologiques COVID-19,https://www.data.gouv.fr/datasets/old-donnees-relatives-aux-resultats-des-tests-virologiques-covid-19,Santé publique France,Mis à jour le 18 mai 2022
Liste des sites patrimoniaux remarquables (SPR),https://www.data.gouv.fr/datasets/liste-des-sites-patrimoniaux-remarquables-spr,Ministère de la Culture,Mis à jour il y a 4 jours
Indicateurs de suivi de l’épidémie de COVID-19,https://www.data.gouv.fr/datasets/indicateurs-de-suivi-de-lepidemie-de-covid-19,Ministère des Solidarités et de la Santé,Mis à jour le 30 août 2022
Résultats des élections européennes du 9 juin 2024,https://www.data.gouv.fr/datasets/resultats-des-elections-europeennes-du-9-juin-2024,Ministère de l'intérieur,Mis à jour le 13 juin 2024
Base nationale des IRVE (Infrastructures de Recharge pour Véhicules Électriques),https://www.data.gouv.fr/datasets/base-nationale-des-irve-infrastructures-de-recharge-pour-vehicules-electriques,data.gouv.fr,Mis à jour aujourd’hui
Cadastre,https://www.data.gouv.fr/datasets/cadastre,data.gouv.fr,Mis à jour il y a 16 jours
Le baccalauréat par académie,https://www.data.gouv.fr/datasets/le-baccalaureat-par-academie,Ministères de l'Éducation nationale,Mis à jour le 23 juin 2026
Indicateurs de valeur ajoutée des collèges,https://www.data.gouv.fr/datasets/indicateurs-de-valeur-ajoutee-des-colleges,Ministères de l'Éducation nationale,Mis à jour le 10 juin 2026
Opérations coordonnées par les CROSS,https://www.data.gouv.fr/datasets/operations-coordonnees-par-les-cross,Ministère de la Transition écologique,Mis à jour aujourd’hui
Elections législatives des 12 et 19 juin 2022 - Résultats du 1er tour,https://www.data.gouv.fr/datasets/elections-legislatives-des-12-et-19-juin-2022-resultats-du-1er-tour,Ministère de l'intérieur,Mis à jour le 13 juin 2022
Open Damir : base complète sur les dépenses d'assurance maladie interrégimes,https://www.data.gouv.fr/datasets/open-damir-base-complete-sur-les-depenses-dassurance-maladie-interregimes,Caisse nationale de l'Assurance Maladie,Mis à jour aujourd’hui
Agrégats comptables des collectivités et des établissements publics locaux 2017,https://www.data.gouv.fr/datasets/agregats-comptables-des-collectivites-et-des-etablissements-publics-locaux-2017,Ministères économiques et financiers,Mis à jour le 24 mars 2019
Base de données publique des médicaments vétérinaires autorisés en France,https://www.data.gouv.fr/datasets/base-de-donnees-publique-des-medicaments-veterinaires-autorises-en-france-1,"Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail (Anses)",Mis à jour le 4 juin 2026
Elections législatives des 30 juin et 7 juillet 2024 - Liste des candidats du 1er tour,https://www.data.gouv.fr/datasets/elections-legislatives-des-30-juin-et-7-juillet-2024-liste-des-candidats-du-1er-tour,Ministère de l'intérieur,Mis à jour le 28 juin 2024
Déplacements des présidents de la République et des premiers ministres depuis 1945,https://www.data.gouv.fr/datasets/deplacements-des-presidents-de-la-republique-et-des-premiers-ministres-depuis-1945,Ministère de la Culture,Mis à jour le 27 août 2025
PIAF - Le dataset francophone de Questions-Réponses,https://www.data.gouv.fr/datasets/piaf-le-dataset-francophone-de-questions-reponses,Etalab,Mis à jour le 25 mars 2021
Fichier des personnes décédées,https://www.data.gouv.fr/datasets/fichier-des-personnes-decedees,Institut national de la statistique et des études économiques (Insee),Mis à jour aujourd’hui
Notifications à la CNIL de violations de données à caractère personnel,https://www.data.gouv.fr/datasets/notifications-a-la-cnil-de-violations-de-donnees-a-caractere-personnel,CNIL,Mis à jour le 19 mai 2026
Lieux de vaccination contre la Covid-19,https://www.data.gouv.fr/datasets/lieux-de-vaccination-contre-la-covid-19,Ministère des Solidarités et de la Santé,Mis à jour le 11 août 2024
Indicateurs de valeur ajoutée des lycées d'enseignement général et technologique (ancienne version),https://www.data.gouv.fr/datasets/indicateurs-de-valeur-ajoutee-des-lycees-denseignement-general-et-technologique-ancienne-version,Ministères de l'Éducation nationale,Mis à jour le 1 juil. 2026
Elections municipales 2020 - résultats 1er tour,https://www.data.gouv.fr/datasets/elections-municipales-2020-resultats-1er-tour,Ministère de l'intérieur,Mis à jour le 25 mai 2020
Election présidentielle des 10 et 24 avril 2022 - Résultats définitifs du 2nd tour,https://www.data.gouv.fr/datasets/election-presidentielle-des-10-et-24-avril-2022-resultats-definitifs-du-2nd-tour,Ministère de l'intérieur,Mis à jour le 28 avr. 2022
Données nationales sur les dépenses d'assurance maladie relatives aux soins de ville,https://www.data.gouv.fr/datasets/donnees-nationales-sur-les-depenses-dassurance-maladie-relatives-aux-soins-de-ville,Caisse nationale de l'Assurance Maladie,Mis à jour aujourd’hui
Données de rapportage de la saison balnéaire,https://www.data.gouv.fr/datasets/donnees-de-rapportage-de-la-saison-balneaire-1,Ministère des Solidarités et de la Santé,Mis à jour il y a 22 jours
Base de données nationale des bâtiments,https://www.data.gouv.fr/datasets/base-de-donnees-nationale-des-batiments,Centre Scientifique et Technique du Batiment,Mis à jour le 22 mai 2026
Code source des taxes foncières (TF),https://www.data.gouv.fr/datasets/code-source-des-taxes-foncieres-tf,Ministères économiques et financiers,Mis à jour il y a 7 jours
Aides à la presse,https://www.data.gouv.fr/datasets/aides-a-la-presse-1,Ministère de la Culture,Mis à jour aujourd’hui
Patrimoine immobilier des opérateurs de l’Enseignement supérieur,https://www.data.gouv.fr/datasets/patrimoine-immobilier-des-operateurs-de-lenseignement-superieur,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace",Mis à jour il y a 28 jours
Données relatives au fonds de solidarité mis en place dans le cadre de l'épidémie de COVID-19,https://www.data.gouv.fr/datasets/donnees-relatives-au-fonds-de-solidarite-mis-en-place-dans-le-cadre-de-lepidemie-de-covid-19,Etalab,Mis à jour aujourd’hui
Liste des juridictions compétentes pour les communes de France,https://www.data.gouv.fr/datasets/liste-des-juridictions-competentes-pour-les-communes-de-france,Ministère de la Justice,Mis à jour il y a 3 jours
Catalogue des données de data.gouv.fr,https://www.data.gouv.fr/datasets/catalogue-des-donnees-de-data-gouv-fr,data.gouv.fr,Mis à jour aujourd’hui
Cadastre minier,https://www.data.gouv.fr/datasets/cadastre-minier,Ministère de la Transition écologique,Mis à jour avant-hier
Index Egalité Professionnelle F/H des entreprises de 50 salariés ou plus,https://www.data.gouv.fr/datasets/index-egalite-professionnelle-f-h-des-entreprises-de-50-salaries-ou-plus,Ministère du Travail du Plein emploi et de l'Insertion,Mis à jour aujourd’hui
Elections législatives des 12 et 19 juin 2022 - Liste des candidats du 1er tour,https://www.data.gouv.fr/datasets/elections-legislatives-des-12-et-19-juin-2022-liste-des-candidats-du-1er-tour,Ministère de l'intérieur,Mis à jour le 9 juin 2022
Elections législatives des 30 juin et 7 juillet 2024 - Résultats définitifs du 2nd tour,https://www.data.gouv.fr/datasets/elections-legislatives-des-30-juin-et-7-juillet-2024-resultats-definitifs-du-2nd-tour,Ministère de l'intérieur,Mis à jour le 10 juil. 2024
Données « temps réel » de mesure des concentrations de polluants atmosphériques réglementés,https://www.data.gouv.fr/datasets/donnees-temps-reel-de-mesure-des-concentrations-de-polluants-atmospheriques-reglementes-1,Laboratoire Central de Surveillance de la Qualité de l'Air,Mis à jour aujourd’hui
Elections municipales 2020 - Candidatures au 1er tour,https://www.data.gouv.fr/datasets/elections-municipales-2020-candidatures-au-1er-tour,Ministère de l'intérieur,Mis à jour le 4 mars 2020
Parcoursup 2021-2024 : propositions d'admission dans l'enseignement supérieur des élèves de terminale diplômés du baccalauréat général selon leurs enseignements de spécialité,https://www.data.gouv.fr/datasets/parcoursup-2021-2024-propositions-dadmission-dans-lenseignement-superieur-des-eleves-de-terminale-diplomes-du-baccalaureat-general-selon-leurs-enseignements-de-specialite,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Espace",Mis à jour le 1 avr. 2025
